task_id	seed_id	dataset	task_description	source_clip	visual_context	audio_pillar	tier	corruption_type	corruption_severity	model	av_sync_score	artifact_quality_score	speaker_consistency_score	semantic_match_score	music_coherence_score	detection_correct	ground_truth_label
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.05	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.05	signal_pipeline	5	5	5	5	5	False	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.05	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.05	gemini_2_5_flash	5	3	4	5	5	True	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.1	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.1	signal_pipeline	5	5	5	5	5	False	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.1	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.1	gemini_2_5_flash	5	3	5	5	5	True	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.15	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.15	signal_pipeline	5	5	5	5	5	False	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.15	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.15	gemini_2_5_flash	5	5	5	5	5	False	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.2	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.2	signal_pipeline	5	5	5	5	5	False	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.2	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.2	gemini_2_5_flash	5	3	5	5	5	True	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.3	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.3	signal_pipeline	5	5	5	5	5	False	artifact_inject
S4_ava_ava_-IELREHX_js_0922470_clean_speech_severity0.3	S4	ava	S4: artifact_inject on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	1	artifact_inject	severity=0.3	gemini_2_5_flash	5	3	5	5	5	True	artifact_inject
